Channel Id,Channel Url,Channel Title
UCgnPgGFT3fRVkXKL59iFDzQ,http://www.youtube.com/channel/UCgnPgGFT3fRVkXKL59iFDzQ,Chris Davis
UChIs72whgZI9w6d6FhwGGHA,http://www.youtube.com/channel/UChIs72whgZI9w6d6FhwGGHA,Gamers Nexus
UChY9Cgv-iyPDvf1Bkyx20OQ,http://www.youtube.com/channel/UChY9Cgv-iyPDvf1Bkyx20OQ,My Mate VINCE
UChYARX5Yj8CapM-F2Z2vPxA,http://www.youtube.com/channel/UChYARX5Yj8CapM-F2Z2vPxA,Adrian Bliss
UChrYe70o7NmDioL02PRVWVg,http://www.youtube.com/channel/UChrYe70o7NmDioL02PRVWVg,MattKC
UCjFaPUcJU1vwk193mnW_w1w,http://www.youtube.com/channel/UCjFaPUcJU1vwk193mnW_w1w,Modern Vintage Gamer
UCjNptkIQQgSC17W-oobhQ_A,http://www.youtube.com/channel/UCjNptkIQQgSC17W-oobhQ_A,RetroGameTech
UCjSEJkpGbcZhvo0lr-44X_w,http://www.youtube.com/channel/UCjSEJkpGbcZhvo0lr-44X_w,TechHut
UCkf4VIqu3Acnfzuk3kRIFwA,http://www.youtube.com/channel/UCkf4VIqu3Acnfzuk3kRIFwA,gotbletu
UCl8UfR1WkSJS666PlNsn6Yg,http://www.youtube.com/channel/UCl8UfR1WkSJS666PlNsn6Yg,GamerZakh
UClOGLGPOqlAiLmOvXW5lKbw,http://www.youtube.com/channel/UClOGLGPOqlAiLmOvXW5lKbw,MandaloreGaming
UClY2Vr39pjX9iERGbO-EbLA,http://www.youtube.com/channel/UClY2Vr39pjX9iERGbO-EbLA,William Papadin
UClt01z1wHHT7c5lKcU8pxRQ,http://www.youtube.com/channel/UClt01z1wHHT7c5lKcU8pxRQ,hbomberguy
UCm22FAXZMw1BaWeFszZxUKw,http://www.youtube.com/channel/UCm22FAXZMw1BaWeFszZxUKw,Kitboga
UCmb8hO2ilV9vRa8cilis88A,http://www.youtube.com/channel/UCmb8hO2ilV9vRa8cilis88A,Thunderf00t
UCmyGZ0689ODyReHw3rsKLtQ,http://www.youtube.com/channel/UCmyGZ0689ODyReHw3rsKLtQ,Michael Tunnell - TuxDigital
UCn4TA_ZZakaElp0OWM4ducg,http://www.youtube.com/channel/UCn4TA_ZZakaElp0OWM4ducg,leepspvideo
